News,Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
BBC,0.0,Fri Aug 24 14:22:04 +0000 2018,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCOne: Find your dancing shoes 👞 👠

#Strictly returns to BBC One soon. @bbcstrictly. https://t.co/yqOYHGXMqP",55
BBC,0.0,Fri Aug 24 13:07:53 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🌡 The next few years could be 'anomalously warm', according to a new study.
👉 https://t.co/jKfnBaFiCA https://t.co/GHZglCJXGS",56
BBC,0.4767,Fri Aug 24 12:01:06 +0000 2018,0.723,0.076,0.201,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂 When you catch your wife reading the Victorian version of 50 Shades Of Grey. 
#Quacks https://t.co/WsShUpzOJm",57
BBC,0.0,Fri Aug 24 11:00:12 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🧀 A substance found by archaeologists working in an Ancient Egyptian tomb has proved to be one of the oldest cheese… https://t.co/1e3wwLTYzw,58
BBC,0.0,Fri Aug 24 08:43:01 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@BBCTravelShow is on @BBCiPlayer now! https://t.co/vORksfNnB7 🍉🐻,59
BBC,-0.4939,Fri Aug 24 08:00:15 +0000 2018,0.862,0.138,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",More than half of Borneo's orangutans have perished since 1999; their habitats destroyed to make way for palm oil p… https://t.co/K4hcJybtsU,60
BBC,0.0,Fri Aug 24 07:27:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","15-20% of US contact lens users dispose of them in bathroom drains, increasing plastic pollution in the environment… https://t.co/xTvugVsIBd",61
BBC,0.0,Fri Aug 24 07:00:10 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",😮🙌🗼 Not what you'd normally find in a back garden... https://t.co/Qo13wjnFO9,62
BBC,0.0,Thu Aug 23 19:00:22 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🍓🤖 Meet the strawberry picking robot. https://t.co/oVL1eYXeBt,63
BBC,0.5859,Thu Aug 23 18:02:06 +0000 2018,0.833,0.0,0.167,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Twenty familiar faces from the worlds of show business, music and sport compete to win the 2018 title... Celebrity… https://t.co/b8ah90rqci",64
